full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
" 10302 (1989 ML)",1.272145430880482,.1364302341023542,4.378156337686101,104.3413174392599,183.3623378591847,1.098586331933218,1.445704529827747,1.43487261130792,10928,0,516,,,19.3
" 22099 (2000 EX106)",1.104406228455273,.276235990385923,9.844872814759313,136.4583528029109,186.5700414416669,.7993294801495486,1.409482976760997,1.16065052751032,8438,0,809,,,17.9
" 52381 (1993 HA)",1.278229728531717,.1441096835693323,7.725001748210609,183.2816506657367,263.8294843056429,1.094024446824098,1.462435010239337,1.44517877052496,9540,0,369,,,20.0
"101955 Bennu (1999 RQ36)",1.126391025934071,.2037451084785423,6.034939533607825,2.060867329373625,66.22306846088361,.8968943641658774,1.355887687702265,1.19547906402423,6821,0,518,22,7,20.19
"162173 Ryugu (1999 JU3)",1.189600821984975,.1902257533711703,5.883742390778817,251.6197109778495,211.4258497031505,.9633081094119196,1.41589353455803,1.2975081237523,11075,0,725,,,19.3
"163000 (2001 SW169)",1.248319819887977,.05149771997786147,3.554133408746698,8.433632810861106,284.8266291499269,1.184034195360571,1.312605444415382,1.39475202691526,7829,0,1019,,,19.2
"216985 (2000 QK130)",1.180624423105028,.2618496410477337,4.722158637460984,173.8848409963729,66.29654730168403,.8714783417027889,1.489770504507268,1.28284990641954,6641,0,243,,,21.1
"225312 (1996 XB27)",1.188882993664954,.05789328371725624,2.464530210036531,179.4124167024594,58.18179933622402,1.120054653206088,1.25771133412382,1.29633388840262,8030,0,203,,,21.7
"226554 (2003 WR21)",1.118609008268721,.2614124407984042,9.275121088968929,85.84137422616698,107.9915122808391,.8261906971181124,1.41102731941933,1.18311148669914,9829,0,281,1,1,19.5
"228502 (2001 TE2)",1.083594568495306,.1967021816897814,7.625061902683512,171.1402604826179,35.76970764175586,.8704491528050818,1.29673998418553,1.12799826453285,6885,0,243,,,20.0
"251732 (1998 HG49)",1.200519505691553,.1125063730539943,4.195437189461306,44.82284017509676,324.2869269513236,1.065453410325623,1.335585601057484,1.31541270854189,7646,0,125,,,21.7
"326354 (2000 SJ344)",1.139910843450516,.1745103615065696,5.767003474858608,14.9902763987181,18.75790729685531,.940984590074708,1.338837096826325,1.21706711961642,6329,0,67,,,22.7
"350462 (1998 KG3)",1.160326678624092,.1182264627797001,5.505183933596277,207.9789090141132,267.6892285629637,1.023145359741448,1.297507997506737,1.24990964396249,7299,0,220,,,22.1
"350523 (2000 EA14)",1.116860844216957,.2025433778767448,3.555622345828501,203.8567774372631,206.0284118269957,.8906480762109817,1.343073612222932,1.18033911761942,7025,0,163,,,21.1
"350751 (2002 AW)",1.070814407212537,.2563674924896981,.5744047040967981,162.1107145739223,119.2116884326446,.7962924027136166,1.345336411711458,1.10810141864329,4361,0,238,,,20.8
"354182 (2002 DU3)",1.145273624849003,.2382208597263136,8.700808235104583,.6868536500014327,245.5295123190298,.8724455573156019,1.418101692382404,1.22566586501289,6195,0,160,,,20.7
"363305 (2002 NV16)",1.23729114269708,.2197855475881662,3.501246748559051,183.3304782675702,179.2372410543242,.9653524313734144,1.509229854020746,1.37630934354601,5402,0,405,4,0,21.4
"371660 (2007 CN26)",1.292632199961692,.2692279424983684,7.58326456688805,159.300136319809,135.6408334251495,.9446194923588664,1.640644907564518,1.46967280328777,3576,0,271,7,5,21.1
"382875 (2004 KE1)",1.298722957513245,.1806923674002434,2.883580624837345,42.77279810911113,283.6530064477626,1.064053631723131,1.533392283303359,1.48007246339473,4642,0,124,,,21.7
"416186 (2002 TD60)",1.202040449910475,.08256969779157279,7.412328872843599,62.6489174677911,343.7670832143343,1.102788333228121,1.301292566592829,1.31791325460864,6121,0,981,,,19.3
"416283 (2003 MM)",1.053279946311468,.2562648248709245,8.544229883342854,127.6218304510812,19.78478811671729,.7833613453299029,1.323198547293033,1.08099559860918,5071,0,107,,,21.5
"417419 (2006 KL21)",1.199033593867923,.1273633841939425,9.355158457308661,117.2122467377896,214.2221583317881,1.046320617590679,1.351746570145167,1.31297128753301,4644,0,197,,,20.9
"424392 (2007 YJ)",1.103855846373046,.2800010329365183,3.305556277291749,29.13039313702068,198.9995158435147,.7947750691755786,1.412936623570514,1.15978301837622,2869,0,77,,,21.9
